id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth466_is_cogs_xdep_q,COGS excluding D&A,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,36,62,1.1,[]
oth466_is_comprehensive_income,Comprehensive Income,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.5344,16,18,1.1,[]
oth466_is_consol_net_inc_q,Net Income - Consolidated,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,180,1147,1.1,[]
oth466_is_dep_amort_exp_q,Depreciation & Amortization,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.7678,35,53,1.1,[]
oth466_is_ebit_bef_unusual,"Earnings Before Interest, Taxes & Unusual Expense",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,58,150,1.1,[]
oth466_is_ebit_oper_ps,Operating Profit Per Share,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,57,128,1.1,[]
oth466_is_ebit_oper_q,EBIT (Operating Income),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,179,931,1.1,[]
oth466_is_ebitda_bef_unusual,EBITDA Before Unusual Expenses,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,42,68,1.1,[]
oth466_is_ebitda_oper_q,EBITDA (Operating Income plus Depreciation & Amortization Exp),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9287,154,704,1.1,[]
oth466_is_ebitda_q,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9501,67,162,1.1,[]
