Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl14_high_ptprep_fy2,The Highest Estimation of Reported Pretax Profit - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_ptprep_fy3,The Highest Estimation of Reported Pretax Profit - upcoming 3 years,Matrix,1.5,50%,100%,3
anl14_high_ptprep_fy4,The Highest Estimation of Reported Pretax Profit - Upcoming 4 Years,Matrix,1.5,50%,100%,3
anl14_high_ptprep_fy5,The highest estimation of Reported Pretax Profit - upcoming 5 years,Matrix,1.5,50%,100%,3
anl14_high_revenue_fp1,The highest estimation of Revenue - upcoming quarter,Matrix,1.5,50%,100%,3
anl14_high_revenue_fp2,The highest estimation of revenue - upcoming 2 quarters,Matrix,1.5,50%,100%,3
anl14_high_revenue_fp3,The highest estimation of Revenue - upcoming 3 quarters,Matrix,1.5,50%,100%,3
anl14_high_revenue_fp4,The Highest Estimation of Revenue - upcoming 4 quarters,Matrix,1.5,50%,100%,3
anl14_high_revenue_fp5,The highest estimation of Revenue - upcoming 5 quarters,Matrix,1.5,50%,100%,4
anl14_high_revenue_fy1,The Highest Estimation of Revenue - upcoming year,Matrix,1.5,50%,100%,4
anl14_high_revenue_fy2,The highest estimation of revenue - upcoming 2 years,Matrix,1.5,50%,100%,4
anl14_high_revenue_fy3,The highest estimation of revenue - upcoming 3 years,Matrix,1.5,50%,100%,4
anl14_high_revenue_fy4,The highest estimation of Revenue - upcoming 4 years,Matrix,1.5,50%,100%,4
anl14_high_revenue_fy5,The highest estimation of revenue - upcoming 5 years,Matrix,1.5,50%,100%,4
anl14_high_roa_fy1,The Highest Estimation of Returns on Assets - upcoming year,Matrix,1.5,50%,100%,4
anl14_high_roa_fy2,The Highest Estimation of Returns on Assets - upcoming 2 years,Matrix,1.5,50%,100%,4
anl14_high_roa_fy3,The Highest Estimation of Returns on Assets - Upcoming 3 Years,Matrix,1.5,50%,100%,4
anl14_high_roa_fy4,The highest estimation of Returns on Assets - upcoming 4 years,Matrix,1.5,50%,100%,4
anl14_high_roe_fp1,The highest estimation of Returns on Equity - upcoming quarter,Matrix,1.5,50%,100%,4
anl14_high_roe_fp2,The highest estimation of returns on equity - upcoming 2 quarters,Matrix,1.5,50%,100%,4
anl14_high_roe_fp3,The highest estimation of returns on equity - upcoming 3 quarters,Matrix,1.5,50%,100%,4
anl14_high_roe_fp4,The Highest Estimation of Returns on Equity - upcoming 4 quarters,Matrix,1.5,50%,100%,4
anl14_high_roe_fy1,The Highest Estimation of Returns on Equity - upcoming year,Matrix,1.5,50%,100%,4
anl14_high_roe_fy2,The highest estimation of returns on equity - upcoming 2 years,Matrix,1.5,50%,100%,4
anl14_high_roe_fy3,The Highest Estimation of Returns on Equity - upcoming 3 years,Matrix,1.5,50%,100%,4
anl14_high_roe_fy4,The Highest Estimation of Returns on Equity - upcoming 4 years,Matrix,1.5,50%,100%,4
anl14_high_roe_fy5,The Highest estimation of Returns on Equity - upcoming 5 years,Matrix,1.5,50%,100%,4
anl14_low_bvps_fp1,The lowest estimation of book value per share - upcoming quarter,Matrix,1.5,50%,100%,4
anl14_low_bvps_fp2,The lowest estimation of book value per share - upcoming 2 quarters,Matrix,1.5,50%,100%,4
anl14_low_bvps_fp3,The Lowest Estimation of Book Value Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,4
anl14_low_bvps_fp4,The lowest estimation of book value per share - upcoming 4 quarters,Matrix,1.5,50%,100%,4
anl14_low_bvps_fp5,The lowest estimation of Book Value Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,4
anl14_low_bvps_fy1,The Lowest Estimation of Book Value Per Share - Upcoming Year,Matrix,1.5,50%,100%,4
anl14_low_bvps_fy2,The Lowest estimation of Book Value Per Share - upcoming 2 years,Matrix,1.5,50%,100%,4
anl14_low_bvps_fy3,The Lowest Estimation of Book Value Per Share - upcoming 3 years,Matrix,1.5,50%,100%,4
anl14_low_bvps_fy4,The Lowest Estimation of Book Value Per Share - Upcoming 4 Years,Matrix,1.5,50%,100%,4
anl14_low_bvps_fy5,The lowest estimation of book value per share - upcoming 5 years,Matrix,1.5,50%,100%,4
